tipo_label,pixels
1,"[[[875 860]]

 [[877 862]]

 [[877 863]]

 [[878 864]]

 [[878 865]]

 [[879 866]]

 [[879 867]]

 [[880 868]]

 [[880 869]]

 [[881 870]]

 [[881 871]]

 [[882 872]]

 [[882 873]]

 [[883 874]]

 [[883 875]]

 [[884 876]]

 [[884 877]]

 [[885 878]]

 [[885 879]]

 [[886 880]]

 [[886 881]]

 [[887 882]]

 [[887 883]]

 [[888 884]]

 [[888 885]]

 [[889 886]]

 [[889 887]]

 [[890 888]]

 [[890 889]]

 [[889 890]]

 [[861 890]]

 [[860 889]]

 [[860 888]]

 [[861 887]]

 [[861 886]]

 [[862 885]]

 [[862 884]]

 [[863 883]]

 [[863 882]]

 [[864 881]]

 [[864 880]]

 [[865 879]]

 [[865 878]]

 [[866 877]]

 [[866 876]]

 [[867 875]]

 [[867 874]]

 [[868 873]]

 [[868 872]]

 [[869 871]]

 [[869 870]]

 [[870 869]]

 [[870 868]]

 [[871 867]]

 [[871 866]]

 [[872 865]]

 [[872 864]]

 [[873 863]]

 [[873 862]]]"
1,"[[[ 25 859]]

 [[ 27 861]]

 [[ 27 862]]

 [[ 28 863]]

 [[ 28 864]]

 [[ 29 865]]

 [[ 29 866]]

 [[ 30 867]]

 [[ 30 868]]

 [[ 31 869]]

 [[ 31 870]]

 [[ 32 871]]

 [[ 32 872]]

 [[ 33 873]]

 [[ 33 874]]

 [[ 34 875]]

 [[ 34 876]]

 [[ 35 877]]

 [[ 35 878]]

 [[ 36 879]]

 [[ 36 880]]

 [[ 37 881]]

 [[ 37 882]]

 [[ 38 883]]

 [[ 38 884]]

 [[ 39 885]]

 [[ 39 886]]

 [[ 40 887]]

 [[ 40 888]]

 [[ 41 889]]

 [[ 41 890]]

 [[ 40 891]]

 [[ 10 891]]

 [[  9 890]]

 [[  9 889]]

 [[ 10 888]]

 [[ 10 887]]

 [[ 11 886]]

 [[ 11 885]]

 [[ 12 884]]

 [[ 12 883]]

 [[ 13 882]]

 [[ 13 881]]

 [[ 14 880]]

 [[ 14 879]]

 [[ 15 878]]

 [[ 15 877]]

 [[ 16 876]]

 [[ 16 875]]

 [[ 17 874]]

 [[ 17 873]]

 [[ 18 872]]

 [[ 18 871]]

 [[ 19 870]]

 [[ 19 869]]

 [[ 20 868]]

 [[ 20 867]]

 [[ 21 866]]

 [[ 21 865]]

 [[ 22 864]]

 [[ 22 863]]

 [[ 23 862]]

 [[ 23 861]]]"
1,"[[[675 858]]

 [[677 860]]

 [[677 861]]

 [[678 862]]

 [[678 863]]

 [[679 864]]

 [[679 865]]

 [[680 866]]

 [[680 867]]

 [[681 868]]

 [[681 869]]

 [[682 870]]

 [[682 871]]

 [[683 872]]

 [[683 873]]

 [[684 874]]

 [[684 875]]

 [[685 876]]

 [[685 877]]

 [[686 878]]

 [[686 879]]

 [[687 880]]

 [[687 881]]

 [[688 882]]

 [[688 883]]

 [[689 884]]

 [[689 885]]

 [[690 886]]

 [[690 887]]

 [[691 888]]

 [[691 889]]

 [[692 890]]

 [[692 891]]

 [[691 892]]

 [[659 892]]

 [[658 891]]

 [[658 890]]

 [[659 889]]

 [[659 888]]

 [[660 887]]

 [[660 886]]

 [[661 885]]

 [[661 884]]

 [[662 883]]

 [[662 882]]

 [[663 881]]

 [[663 880]]

 [[664 879]]

 [[664 878]]

 [[665 877]]

 [[665 876]]

 [[666 875]]

 [[666 874]]

 [[667 873]]

 [[667 872]]

 [[668 871]]

 [[668 870]]

 [[669 869]]

 [[669 868]]

 [[670 867]]

 [[670 866]]

 [[671 865]]

 [[671 864]]

 [[672 863]]

 [[672 862]]

 [[673 861]]

 [[673 860]]]"
1,"[[[425 858]]

 [[427 860]]

 [[427 861]]

 [[428 862]]

 [[428 863]]

 [[429 864]]

 [[429 865]]

 [[430 866]]

 [[430 867]]

 [[431 868]]

 [[431 869]]

 [[432 870]]

 [[432 871]]

 [[433 872]]

 [[433 873]]

 [[434 874]]

 [[434 875]]

 [[435 876]]

 [[435 877]]

 [[436 878]]

 [[436 879]]

 [[437 880]]

 [[437 881]]

 [[438 882]]

 [[438 883]]

 [[439 884]]

 [[439 885]]

 [[440 886]]

 [[440 887]]

 [[441 888]]

 [[441 889]]

 [[442 890]]

 [[442 891]]

 [[441 892]]

 [[409 892]]

 [[408 891]]

 [[408 890]]

 [[409 889]]

 [[409 888]]

 [[410 887]]

 [[410 886]]

 [[411 885]]

 [[411 884]]

 [[412 883]]

 [[412 882]]

 [[413 881]]

 [[413 880]]

 [[414 879]]

 [[414 878]]

 [[415 877]]

 [[415 876]]

 [[416 875]]

 [[416 874]]

 [[417 873]]

 [[417 872]]

 [[418 871]]

 [[418 870]]

 [[419 869]]

 [[419 868]]

 [[420 867]]

 [[420 866]]

 [[421 865]]

 [[421 864]]

 [[422 863]]

 [[422 862]]

 [[423 861]]

 [[423 860]]]"
1,"[[[975 856]]

 [[977 858]]

 [[977 859]]

 [[978 860]]

 [[978 861]]

 [[979 862]]

 [[979 863]]

 [[980 864]]

 [[980 865]]

 [[981 866]]

 [[981 867]]

 [[982 868]]

 [[982 869]]

 [[983 870]]

 [[983 871]]

 [[984 872]]

 [[984 873]]

 [[985 874]]

 [[985 875]]

 [[986 876]]

 [[986 877]]

 [[987 878]]

 [[987 879]]

 [[988 880]]

 [[988 881]]

 [[989 882]]

 [[989 883]]

 [[990 884]]

 [[990 885]]

 [[991 886]]

 [[991 887]]

 [[992 888]]

 [[992 889]]

 [[993 890]]

 [[993 891]]

 [[994 892]]

 [[994 893]]

 [[993 894]]

 [[957 894]]

 [[956 893]]

 [[956 892]]

 [[957 891]]

 [[957 890]]

 [[958 889]]

 [[958 888]]

 [[959 887]]

 [[959 886]]

 [[960 885]]

 [[960 884]]

 [[961 883]]

 [[961 882]]

 [[962 881]]

 [[962 880]]

 [[963 879]]

 [[963 878]]

 [[964 877]]

 [[964 876]]

 [[965 875]]

 [[965 874]]

 [[966 873]]

 [[966 872]]

 [[967 871]]

 [[967 870]]

 [[968 869]]

 [[968 868]]

 [[969 867]]

 [[969 866]]

 [[970 865]]

 [[970 864]]

 [[971 863]]

 [[971 862]]

 [[972 861]]

 [[972 860]]

 [[973 859]]

 [[973 858]]]"
1,"[[[475 856]]

 [[477 858]]

 [[477 859]]

 [[478 860]]

 [[478 861]]

 [[479 862]]

 [[479 863]]

 [[480 864]]

 [[480 865]]

 [[481 866]]

 [[481 867]]

 [[482 868]]

 [[482 869]]

 [[483 870]]

 [[483 871]]

 [[484 872]]

 [[484 873]]

 [[485 874]]

 [[485 875]]

 [[486 876]]

 [[486 877]]

 [[487 878]]

 [[487 879]]

 [[488 880]]

 [[488 881]]

 [[489 882]]

 [[489 883]]

 [[490 884]]

 [[490 885]]

 [[491 886]]

 [[491 887]]

 [[492 888]]

 [[492 889]]

 [[493 890]]

 [[493 891]]

 [[494 892]]

 [[494 893]]

 [[493 894]]

 [[457 894]]

 [[456 893]]

 [[456 892]]

 [[457 891]]

 [[457 890]]

 [[458 889]]

 [[458 888]]

 [[459 887]]

 [[459 886]]

 [[460 885]]

 [[460 884]]

 [[461 883]]

 [[461 882]]

 [[462 881]]

 [[462 880]]

 [[463 879]]

 [[463 878]]

 [[464 877]]

 [[464 876]]

 [[465 875]]

 [[465 874]]

 [[466 873]]

 [[466 872]]

 [[467 871]]

 [[467 870]]

 [[468 869]]

 [[468 868]]

 [[469 867]]

 [[469 866]]

 [[470 865]]

 [[470 864]]

 [[471 863]]

 [[471 862]]

 [[472 861]]

 [[472 860]]

 [[473 859]]

 [[473 858]]]"
1,"[[[525 855]]

 [[527 857]]

 [[527 858]]

 [[528 859]]

 [[528 860]]

 [[529 861]]

 [[529 862]]

 [[530 863]]

 [[530 864]]

 [[531 865]]

 [[531 866]]

 [[532 867]]

 [[532 868]]

 [[533 869]]

 [[533 870]]

 [[534 871]]

 [[534 872]]

 [[535 873]]

 [[535 874]]

 [[536 875]]

 [[536 876]]

 [[537 877]]

 [[537 878]]

 [[538 879]]

 [[538 880]]

 [[539 881]]

 [[539 882]]

 [[540 883]]

 [[540 884]]

 [[541 885]]

 [[541 886]]

 [[542 887]]

 [[542 888]]

 [[543 889]]

 [[543 890]]

 [[544 891]]

 [[544 892]]

 [[545 893]]

 [[545 894]]

 [[544 895]]

 [[506 895]]

 [[505 894]]

 [[505 893]]

 [[506 892]]

 [[506 891]]

 [[507 890]]

 [[507 889]]

 [[508 888]]

 [[508 887]]

 [[509 886]]

 [[509 885]]

 [[510 884]]

 [[510 883]]

 [[511 882]]

 [[511 881]]

 [[512 880]]

 [[512 879]]

 [[513 878]]

 [[513 877]]

 [[514 876]]

 [[514 875]]

 [[515 874]]

 [[515 873]]

 [[516 872]]

 [[516 871]]

 [[517 870]]

 [[517 869]]

 [[518 868]]

 [[518 867]]

 [[519 866]]

 [[519 865]]

 [[520 864]]

 [[520 863]]

 [[521 862]]

 [[521 861]]

 [[522 860]]

 [[522 859]]

 [[523 858]]

 [[523 857]]]"
1,"[[[675 819]]

 [[677 821]]

 [[677 822]]

 [[678 823]]

 [[678 824]]

 [[679 825]]

 [[679 826]]

 [[680 827]]

 [[680 828]]

 [[681 829]]

 [[681 830]]

 [[680 831]]

 [[670 831]]

 [[669 830]]

 [[669 829]]

 [[670 828]]

 [[670 827]]

 [[671 826]]

 [[671 825]]

 [[672 824]]

 [[672 823]]

 [[673 822]]

 [[673 821]]]"
1,"[[[575 819]]

 [[577 821]]

 [[577 822]]

 [[578 823]]

 [[578 824]]

 [[579 825]]

 [[579 826]]

 [[580 827]]

 [[580 828]]

 [[581 829]]

 [[581 830]]

 [[580 831]]

 [[570 831]]

 [[569 830]]

 [[569 829]]

 [[570 828]]

 [[570 827]]

 [[571 826]]

 [[571 825]]

 [[572 824]]

 [[572 823]]

 [[573 822]]

 [[573 821]]]"
1,"[[[525 817]]

 [[527 819]]

 [[527 820]]

 [[528 821]]

 [[528 822]]

 [[529 823]]

 [[529 824]]

 [[530 825]]

 [[530 826]]

 [[531 827]]

 [[531 828]]

 [[532 829]]

 [[532 830]]

 [[533 831]]

 [[533 832]]

 [[532 833]]

 [[518 833]]

 [[517 832]]

 [[517 831]]

 [[518 830]]

 [[518 829]]

 [[519 828]]

 [[519 827]]

 [[520 826]]

 [[520 825]]

 [[521 824]]

 [[521 823]]

 [[522 822]]

 [[522 821]]

 [[523 820]]

 [[523 819]]]"
1,"[[[175 816]]

 [[177 818]]

 [[177 819]]

 [[178 820]]

 [[178 821]]

 [[179 822]]

 [[179 823]]

 [[180 824]]

 [[180 825]]

 [[181 826]]

 [[181 827]]

 [[182 828]]

 [[182 829]]

 [[183 830]]

 [[183 831]]

 [[184 832]]

 [[184 833]]

 [[183 834]]

 [[167 834]]

 [[166 833]]

 [[166 832]]

 [[167 831]]

 [[167 830]]

 [[168 829]]

 [[168 828]]

 [[169 827]]

 [[169 826]]

 [[170 825]]

 [[170 824]]

 [[171 823]]

 [[171 822]]

 [[172 821]]

 [[172 820]]

 [[173 819]]

 [[173 818]]]"
1,"[[[ 75 816]]

 [[ 77 818]]

 [[ 77 819]]

 [[ 78 820]]

 [[ 78 821]]

 [[ 79 822]]

 [[ 79 823]]

 [[ 80 824]]

 [[ 80 825]]

 [[ 81 826]]

 [[ 81 827]]

 [[ 82 828]]

 [[ 82 829]]

 [[ 83 830]]

 [[ 83 831]]

 [[ 84 832]]

 [[ 84 833]]

 [[ 83 834]]

 [[ 67 834]]

 [[ 66 833]]

 [[ 66 832]]

 [[ 67 831]]

 [[ 67 830]]

 [[ 68 829]]

 [[ 68 828]]

 [[ 69 827]]

 [[ 69 826]]

 [[ 70 825]]

 [[ 70 824]]

 [[ 71 823]]

 [[ 71 822]]

 [[ 72 821]]

 [[ 72 820]]

 [[ 73 819]]

 [[ 73 818]]]"
1,"[[[325 815]]

 [[327 817]]

 [[327 818]]

 [[328 819]]

 [[328 820]]

 [[329 821]]

 [[329 822]]

 [[330 823]]

 [[330 824]]

 [[331 825]]

 [[331 826]]

 [[332 827]]

 [[332 828]]

 [[333 829]]

 [[333 830]]

 [[334 831]]

 [[334 832]]

 [[335 833]]

 [[335 834]]

 [[334 835]]

 [[316 835]]

 [[315 834]]

 [[315 833]]

 [[316 832]]

 [[316 831]]

 [[317 830]]

 [[317 829]]

 [[318 828]]

 [[318 827]]

 [[319 826]]

 [[319 825]]

 [[320 824]]

 [[320 823]]

 [[321 822]]

 [[321 821]]

 [[322 820]]

 [[322 819]]

 [[323 818]]

 [[323 817]]]"
1,"[[[975 814]]

 [[977 816]]

 [[977 817]]

 [[978 818]]

 [[978 819]]

 [[979 820]]

 [[979 821]]

 [[980 822]]

 [[980 823]]

 [[981 824]]

 [[981 825]]

 [[982 826]]

 [[982 827]]

 [[983 828]]

 [[983 829]]

 [[984 830]]

 [[984 831]]

 [[985 832]]

 [[985 833]]

 [[986 834]]

 [[986 835]]

 [[985 836]]

 [[965 836]]

 [[964 835]]

 [[964 834]]

 [[965 833]]

 [[965 832]]

 [[966 831]]

 [[966 830]]

 [[967 829]]

 [[967 828]]

 [[968 827]]

 [[968 826]]

 [[969 825]]

 [[969 824]]

 [[970 823]]

 [[970 822]]

 [[971 821]]

 [[971 820]]

 [[972 819]]

 [[972 818]]

 [[973 817]]

 [[973 816]]]"
1,"[[[425 814]]

 [[427 816]]

 [[427 817]]

 [[428 818]]

 [[428 819]]

 [[429 820]]

 [[429 821]]

 [[430 822]]

 [[430 823]]

 [[431 824]]

 [[431 825]]

 [[432 826]]

 [[432 827]]

 [[433 828]]

 [[433 829]]

 [[434 830]]

 [[434 831]]

 [[435 832]]

 [[435 833]]

 [[436 834]]

 [[436 835]]

 [[435 836]]

 [[415 836]]

 [[414 835]]

 [[414 834]]

 [[415 833]]

 [[415 832]]

 [[416 831]]

 [[416 830]]

 [[417 829]]

 [[417 828]]

 [[418 827]]

 [[418 826]]

 [[419 825]]

 [[419 824]]

 [[420 823]]

 [[420 822]]

 [[421 821]]

 [[421 820]]

 [[422 819]]

 [[422 818]]

 [[423 817]]

 [[423 816]]]"
1,"[[[725 813]]

 [[727 815]]

 [[727 816]]

 [[728 817]]

 [[728 818]]

 [[729 819]]

 [[729 820]]

 [[730 821]]

 [[730 822]]

 [[731 823]]

 [[731 824]]

 [[732 825]]

 [[732 826]]

 [[733 827]]

 [[733 828]]

 [[734 829]]

 [[734 830]]

 [[735 831]]

 [[735 832]]

 [[736 833]]

 [[736 834]]

 [[737 835]]

 [[737 836]]

 [[736 837]]

 [[714 837]]

 [[713 836]]

 [[713 835]]

 [[714 834]]

 [[714 833]]

 [[715 832]]

 [[715 831]]

 [[716 830]]

 [[716 829]]

 [[717 828]]

 [[717 827]]

 [[718 826]]

 [[718 825]]

 [[719 824]]

 [[719 823]]

 [[720 822]]

 [[720 821]]

 [[721 820]]

 [[721 819]]

 [[722 818]]

 [[722 817]]

 [[723 816]]

 [[723 815]]]"
1,"[[[225 813]]

 [[227 815]]

 [[227 816]]

 [[228 817]]

 [[228 818]]

 [[229 819]]

 [[229 820]]

 [[230 821]]

 [[230 822]]

 [[231 823]]

 [[231 824]]

 [[232 825]]

 [[232 826]]

 [[233 827]]

 [[233 828]]

 [[234 829]]

 [[234 830]]

 [[235 831]]

 [[235 832]]

 [[236 833]]

 [[236 834]]

 [[237 835]]

 [[237 836]]

 [[236 837]]

 [[214 837]]

 [[213 836]]

 [[213 835]]

 [[214 834]]

 [[214 833]]

 [[215 832]]

 [[215 831]]

 [[216 830]]

 [[216 829]]

 [[217 828]]

 [[217 827]]

 [[218 826]]

 [[218 825]]

 [[219 824]]

 [[219 823]]

 [[220 822]]

 [[220 821]]

 [[221 820]]

 [[221 819]]

 [[222 818]]

 [[222 817]]

 [[223 816]]

 [[223 815]]]"
1,"[[[875 812]]

 [[877 814]]

 [[877 815]]

 [[878 816]]

 [[878 817]]

 [[879 818]]

 [[879 819]]

 [[880 820]]

 [[880 821]]

 [[881 822]]

 [[881 823]]

 [[882 824]]

 [[882 825]]

 [[883 826]]

 [[883 827]]

 [[884 828]]

 [[884 829]]

 [[885 830]]

 [[885 831]]

 [[886 832]]

 [[886 833]]

 [[887 834]]

 [[887 835]]

 [[888 836]]

 [[888 837]]

 [[887 838]]

 [[863 838]]

 [[862 837]]

 [[862 836]]

 [[863 835]]

 [[863 834]]

 [[864 833]]

 [[864 832]]

 [[865 831]]

 [[865 830]]

 [[866 829]]

 [[866 828]]

 [[867 827]]

 [[867 826]]

 [[868 825]]

 [[868 824]]

 [[869 823]]

 [[869 822]]

 [[870 821]]

 [[870 820]]

 [[871 819]]

 [[871 818]]

 [[872 817]]

 [[872 816]]

 [[873 815]]

 [[873 814]]]"
1,"[[[475 812]]

 [[477 814]]

 [[477 815]]

 [[478 816]]

 [[478 817]]

 [[479 818]]

 [[479 819]]

 [[480 820]]

 [[480 821]]

 [[481 822]]

 [[481 823]]

 [[482 824]]

 [[482 825]]

 [[483 826]]

 [[483 827]]

 [[484 828]]

 [[484 829]]

 [[485 830]]

 [[485 831]]

 [[486 832]]

 [[486 833]]

 [[487 834]]

 [[487 835]]

 [[488 836]]

 [[488 837]]

 [[487 838]]

 [[463 838]]

 [[462 837]]

 [[462 836]]

 [[463 835]]

 [[463 834]]

 [[464 833]]

 [[464 832]]

 [[465 831]]

 [[465 830]]

 [[466 829]]

 [[466 828]]

 [[467 827]]

 [[467 826]]

 [[468 825]]

 [[468 824]]

 [[469 823]]

 [[469 822]]

 [[470 821]]

 [[470 820]]

 [[471 819]]

 [[471 818]]

 [[472 817]]

 [[472 816]]

 [[473 815]]

 [[473 814]]]"
